0 MSFT 100.205 529 940
100 MSFT 123.299 651 718
200 MSFT 138.246 692 374
300 MSFT 137.948 33 152
400 MSFT 143.493 310 249
500 MSFT 152.137 394 226
600 MSFT 151.275 128 201
700 MSFT 151.308 434 692
800 MSFT 151.532 778 324
900 MSFT 162.332 686 941
1000 MSFT 158.531 846 103
1100 MSFT 160.012 854 151
1200 MSFT 163.142 573 621
1300 MSFT 166.244 360 255
1400 MSFT 169.958 159 941
1500 MSFT 176.942 375 255
1600 MSFT 171.738 119 540
1700 MSFT 174.957 82 329
1800 MSFT 176.932 34 366
1900 MSFT 183.673 582 554
2000 MSFT 187.846 242 257
2100 MSFT 190.793 485 878
2200 MSFT 195.264 954 382
2300 MSFT 200.556 969 993
2400 MSFT 204.626 963 261
2500 MSFT 209.105 564 134
2600 MSFT 205.508 796 574
2700 MSFT 213.378 732 47
2800 MSFT 215.205 928 641
2900 MSFT 217.502 573 30
3000 MSFT 228.03 813 46
3100 MSFT 228.276 724 694
3200 MSFT 228.227 736 1
3300 MSFT 228.928 819 895
3400 MSFT 235.03 448 574
3500 MSFT 235.709 611 277
3600 MSFT 236.235 204 521
3700 MSFT 243.875 403 245
3800 MSFT 243.753 541 597
3900 MSFT 244.689 198 72
4000 MSFT 247.256 876 267
4100 MSFT 254.659 288 246
4200 MSFT 255.069 840 971
4300 MSFT 262.343 641 613
4400 MSFT 267.699 130 301
4500 MSFT 266.727 625 375
4600 MSFT 264.017 438 465
4700 MSFT 272.459 889 59
4800 MSFT 273.184 314 532
4900 MSFT 268.698 845 647
5000 MSFT 264.158 915 652
5100 MSFT 271.924 831 917
5200 MSFT 274.87 551 250
5300 MSFT 269.152 856 746
5400 MSFT 276.446 708 923
5500 MSFT 267.671 286 872
5600 MSFT 272.816 179 745
5700 MSFT 272.691 491 6
5800 MSFT 275.317 698 552
5900 MSFT 280.624 683 744
6000 MSFT 279.464 113 700
6100 MSFT 283.777 826 409
6200 MSFT 286.846 531 252
6300 MSFT 289.123 762 443
6400 MSFT 291.621 959 140
6500 MSFT 291.057 678 717
6600 MSFT 294.743 190 275
6700 MSFT 302.087 986 84
6800 MSFT 311.315 461 156
6900 MSFT 306.529 922 216
7000 MSFT 308.585 680 197
7100 MSFT 309.374 937 785
7200 MSFT 311.901 619 629
7300 MSFT 308.138 528 283
7400 MSFT 310.952 626 370
7500 MSFT 314.697 299 496
7600 MSFT 313.352 535 210
7700 MSFT 315.356 968 55
7800 MSFT 314.49 491 518
7900 MSFT 312.919 449 771
8000 MSFT 311.439 332 735
8100 MSFT 317.708 340 825
8200 MSFT 319.258 547 897
8300 MSFT 324.683 699 860
8400 MSFT 326.139 69 946
8500 MSFT 324.507 643 643
8600 MSFT 330.388 440 479
8700 MSFT 334.551 864 30
8800 MSFT 341.769 683 734
8900 MSFT 338.909 361 572
9000 MSFT 347.731 648 383
9100 MSFT 353.123 183 239
9200 MSFT 358.197 796 493
9300 MSFT 351.97 621 172
9400 MSFT 358.244 184 221
9500 MSFT 364.256 622 126
9600 MSFT 360.45 861 548
9700 MSFT 357.981 564 775
9800 MSFT 368.442 583 113
9900 MSFT 366.49 791 503
10000 MSFT 363.892 834 76
10100 MSFT 364.444 339 332
10200 MSFT 365.603 466 29
10300 MSFT 365.527 605 448
10400 MSFT 363.249 389 139
10500 MSFT 369.178 726 661
10600 MSFT 374.277 335 909
10700 MSFT 370.8 903 248
10800 MSFT 374.761 936 140
10900 MSFT 372.403 373 765
11000 MSFT 377.492 793 183
11100 MSFT 377.551 581 718
11200 MSFT 388.362 783 355
11300 MSFT 385.024 545 455
11400 MSFT 395.261 61 622
11500 MSFT 398.838 660 664
11600 MSFT 400.155 301 393
11700 MSFT 396.736 600 43
11800 MSFT 402.966 294 271
11900 MSFT 404.499 471 482
12000 MSFT 405.675 389 743
12100 MSFT 400.588 806 561
12200 MSFT 408.613 577 708
12300 MSFT 407.861 457 846
12400 MSFT 403.117 98 368
12500 MSFT 408.401 299 735
12600 MSFT 405.702 622 540
12700 MSFT 409.035 163 859
12800 MSFT 409.968 626 732
12900 MSFT 416.424 691 29
13000 MSFT 419.964 603 236
13100 MSFT 419.768 143 692
13200 MSFT 417.096 565 712
13300 MSFT 421.44 838 979
13400 MSFT 421.172 578 732
13500 MSFT 426.374 141 663
13600 MSFT 433.36 177 21
13700 MSFT 433.246 524 842
13800 MSFT 440.242 628 210
13900 MSFT 449.395 128 439
14000 MSFT 457.004 143 684
14100 MSFT 451.551 664 11
14200 MSFT 444.965 982 502
14300 MSFT 447.508 887 171
14400 MSFT 449.458 128 402
14500 MSFT 458.35 733 882
14600 MSFT 464.674 706 711
14700 MSFT 468.321 472 696
14800 MSFT 476.407 414 446
14900 MSFT 472.002 66 196
15000 MSFT 477.772 706 417
15100 MSFT 484.872 67 362
15200 MSFT 489.391 259 526
15300 MSFT 483.472 624 366
15400 MSFT 489.534 334 569
15500 MSFT 493.616 858 733
15600 MSFT 492.738 394 344
15700 MSFT 490.684 921 771
15800 MSFT 493.339 96 37
15900 MSFT 497.445 362 900
16000 MSFT 498.749 834 155
16100 MSFT 496.518 286 607
16200 MSFT 496.906 627 569
