Day 1
122433000 AAPL 159.552 64 1 Buy
122423500 AAPL 158.378 160 48 Buy
122269000 MSFT 158.319 269 47 Buy
122272500 MSFT 158.191 983 20 Buy
122422000 AAPL 158.113 348 11 Buy
122200500 AAPL 158.046 527 15 Buy
122421000 AAPL 157.989 743 15 Buy
122200000 AAPL 157.753 727 5 Buy
122193000 AAPL 157.048 677 2 Buy
122176500 TSLA 157.034 954 5 Buy
122047000 MSFT 156.733 266 4 Buy
122037500 TSLA 156.49 256 20 Buy
122046000 MSFT 156.472 377 28 Buy
122029000 MSFT 156.25 26 24 Buy
120666000 AMZN 154.786 455 28 Buy
120710000 MSFT 154.731 739 46 Buy
120683500 MSFT 154.656 669 26 Buy
120711000 MSFT 154.572 663 12 Buy
120640500 AMZN 153.679 359 25 Buy
120650500 AMZN 153.45 424 9 Buy
120639000 AMZN 153.144 938 17 Buy
120653000 AMZN 153.06 916 40 Buy
120393500 AAPL 153.045 907 13 Buy
120458500 AAPL 153.032 647 11 Buy
120637500 AMZN 153.022 402 10 Buy
120399500 AAPL 152.845 15 19 Buy
120409500 AAPL 152.807 55 28 Buy
120422500 AAPL 152.726 846 13 Buy
120397000 AAPL 152.669 512 41 Buy
120394500 AAPL 152.604 868 15 Buy
120403000 AAPL 152.547 500 40 Buy
120263500 TSLA 152.444 497 48 Buy
120425500 AAPL 152.278 975 27 Buy
120254000 MSFT 152.226 570 19 Buy
120275000 MSFT 152.212 405 38 Buy
120428500 AAPL 152.161 585 2 Buy
120251000 MSFT 151.842 778 24 Buy
120274000 MSFT 151.561 375 37 Buy
120238500 TSLA 151.398 449 46 Buy
120238000 TSLA 151.328 456 36 Buy
120258500 MSFT 151.307 850 4 Buy
120437000 AAPL 151.289 31 27 Buy
120246000 TSLA 151.238 91 48 Buy
120259000 MSFT 151.069 994 40 Buy
120234500 TSLA 151.061 51 8 Buy
120262500 MSFT 150.965 978 13 Buy
120438500 AAPL 150.832 313 22 Buy
120228500 TSLA 150.742 368 17 Buy
120210000 TSLA 150.132 169 22 Buy
120202000 AAPL 150.067 755 48 Buy
120212500 TSLA 149.416 890 17 Buy
119450500 MSFT 148.675 336 47 Buy
119341500 MSFT 148.034 52 2 Buy
119416500 MSFT 147.976 631 16 Buy
119358500 AAPL 147.823 924 26 Buy
119444000 MSFT 147.761 848 26 Buy
119352000 AAPL 147.449 990 47 Buy
119448500 MSFT 147.194 732 31 Buy
119445500 MSFT 147.114 552 40 Buy
119358000 AAPL 146.888 382 20 Buy
119337500 AAPL 146.635 501 10 Buy
119341000 MSFT 146.59 247 48 Buy
119252000 TSLA 145.902 59 38 Buy
119245500 TSLA 145.329 257 17 Buy
119156500 TSLA 145.281 19 16 Buy
119154000 TSLA 145.279 447 4 Buy
119247000 TSLA 145.048 66 29 Buy
119146000 TSLA 144.397 829 10 Buy
119150000 TSLA 143.795 888 21 Buy
119130500 TSLA 143.498 772 1 Buy
118662500 AMZN 143.373 238 33 Buy
118603500 AMZN 143.28 765 44 Buy
119133500 TSLA 143.243 331 28 Buy
118608500 AMZN 143.141 57 28 Buy
118659000 AMZN 143.132 384 5 Buy
118597500 AMZN 143.1 492 41 Buy
119135500 TSLA 142.886 291 16 Buy
118610500 AMZN 142.86 846 10 Buy
118609500 AMZN 142.854 77 36 Buy
118645000 AMZN 142.84 337 1 Buy
119136000 TSLA 142.824 814 41 Buy
119134000 TSLA 142.662 596 3 Buy
119139000 TSLA 142.511 936 17 Buy
118611500 AMZN 142.473 618 6 Buy
118509000 AMZN 142.319 56 25 Buy
118502500 AMZN 142.298 459 14 Buy
118511000 AMZN 142.251 496 49 Buy
118524000 AMZN 142.182 902 15 Buy
118439000 GOOGL 142.077 135 14 Buy
118515500 AMZN 142.056 199 3 Buy
118560000 AMZN 142.052 910 12 Buy
118420500 AMZN 141.994 469 10 Buy
118381000 TSLA 140.787 737 14 Buy
118363000 TSLA 140.626 405 3 Buy
118289000 GOOGL 140.562 290 46 Buy
118257500 AAPL 140.145 827 18 Buy
117849000 MSFT 140.101 785 3 Buy
118248000 AMZN 139.964 138 30 Buy
117938000 AAPL 139.963 12 1 Buy
117835500 MSFT 139.962 851 25 Buy
117840000 MSFT 139.943 444 38 Buy
117921500 AAPL 139.82 542 19 Buy
117903500 MSFT 139.63 182 7 Buy
117925500 AAPL 139.237 910 29 Buy
117817500 MSFT 139.113 124 16 Buy
117895500 MSFT 138.945 324 19 Buy
117818500 MSFT 138.918 453 25 Buy
